I1,I2,I3,I4,Amm,Contract,Dep,Sprc,PRC,ZIP,SPECcode,SpecNum,Result
11,171,188,988,2433.18,19539,0,0,0,60001,519,65,1
11,181,302,693,953.86,64418,2,3,1,60631,607,11,1
11,171,86,476,2600,31057,28,5,1,60605,103,81,0
11,171,41,835,1500,63399,6,7,0,60610,346,53,1
11,181,28,123,820,28520,12,12,1,60176,845,10,1
22,185,8,167,1086.08,68136,4,6,0,60602,857,59,0
131,173,0,0,55,49308,0,0,0,60000,509,13,1
250,175,0,0,55629.57,33361,4,6,0,60607,508,13,1
11,181,20,225,525,27839,0,0,0,60000,608,96,1
11,171,188,988,2433.18,19539,0,0,0,60000,519,65,1
22,185,6,307,13453.27,58802,4,6,0,60625,761,45,1
154,185,0,0,6729,47754,9,15,1,60501,476,13,1
11,181,87,124,118.18,33233,0,0,0,60000,300,10,1
184,178,0,0,29319.46,30025,3,8,1,60609,60,12,0
11,171,92,77,1998,26538,2,3,1,60634,409,10,1
11,171,30,540,1346.57,20337,10,16,1,60609,645,66,0
22,177,0,343,665.28,51127,27,6,3,60616,171,12,1
270,177,0,0,1006.99,51191,27,6,3,60646,171,12,1
11,161,19,11,156.6,26158,12,5,1,60661,394,83,1
11,171,30,397,33319.31,18085,10,16,1,33178,138,61,0
22,185,1,429,6916.2,58899,4,6,0,60610,626,46,1
22,175,2,393,1852.8,57476,4,6,0,60606,553,44,1
11,171,17,909,119.88,33233,0,0,0,60000,300,10,1
185,179,0,0,7008.33,20293,0,0,0,60000,285,62,1
11,171,27,1,2351.32,24026,10,5,1,60415,610,86,0
11,171,389,658,164934.98,5432,0,0,0,60000,0,0,1
11,181,42,324,299.25,28090,5,5,1,60035,64,11,1
11,171,31,799,320,32877,12,16,1,53227,460,11,1
11,171,27,454,2127620,26235,10,16,1,60106,848,98,1
250,175,0,0,132977.38,48891,4,6,0,60608,162,32,1
11,181,29,164,2445,70890,12,5,3,60674,168,31,1
11,171,28,984,2318.53,29709,12,5,1,60176,822,11,1
11,161,95,700,2052.91,19651,12,5,1,60612,930,59,0
250,175,0,0,1453.41,48788,4,6,0,60622,509,13,1
11,181,29,557,5276.11,18925,10,16,1,60612,902,59,0
22,174,101,759,1451.98,33687,16,6,0,60608,64,14,1
241,174,0,0,52257.4,31762,16,6,0,60614,999,12,0
11,181,27,871,15545.76,18086,10,16,1,33178,507,65,0
131,173,0,0,180,30303,0,0,0,60000,834,11,1
11,171,67,694,231729.3,34001,0,0,0,60000,71,12,1
250,175,0,0,28013.39,33332,4,6,0,60608,509,13,1
11,181,20,250,95235,29653,11,12,1,60604,415,10,1
254,175,0,0,10036.28,50324,9,6,3,60639,496,11,1
11,171,92,560,91573.98,28364,12,5,3,60678,380,10,0
