I1,I2,I3,I4,Amm,Contract,Dep,Sprc,PRC,ZIP,SPECcode,SpecNum
11,171,302,705,5311.09,33469,12,12,1,60609,826,12
22,175,4,151,3186,33346,4,6,0,60651,508,13
11,171,303,542,402.6,33469,12,12,1,60609,826,12
11,181,85,291,282.3,32528,17,12,1,60696,654,12
138,164,0,0,47305.07,30223,12,7,0,53201,471,12
11,171,88,525,55325.78,24050,2,26,3,60654,60,80
241,164,0,0,11493.81,31706,16,6,0,60637,990,12
22,185,4,700,12071.66,44154,4,6,0,60661,800,25
250,175,0,0,3730.12,44134,4,6,0,60612,914,30
106,171,0,0,105.61,19393,15,41,3,60197,798,37
11,181,1,835,14150.39,75071,11,5,1,60101,565,21
11,171,389,304,1116.21,28296,7,12,1,11747,538,10
11,171,92,630,1629.86,32528,17,12,1,60696,654,12
11,171,69,422,91866,24517,10,5,1,60005,126,81
11,181,27,381,4826,30545,12,12,1,60139,487,12
11,171,15,287,4748.04,28466,0,0,0,60000,298,10
11,171,92,47,12150,28163,18,7,0,60601,715,11
250,175,0,0,161915.56,28486,4,6,0,60612,850,11
11,161,92,238,42641.01,19847,13,26,5,64180,693,66
11,171,87,226,52896.35,53204,16,17,1,30009,484,32
11,181,301,476,4871.59,59353,2,3,1,60148,361,13
22,175,4,167,3417.46,58791,4,6,0,60018,626,46
138,184,0,0,1724.29,30741,11,15,1,60606,299,12
11,171,390,114,44682.49,22875,2,26,5,60616,975,79
11,171,69,999,1990,17836,10,16,1,60609,902,59
22,174,101,971,40467.45,31702,0,6,0,60612,990,12
22,187,0,579,4168.73,51158,27,6,3,60624,171,12
11,161,18,686,763.6,20339,10,16,1,60609,645,66
22,185,4,583,5395.84,57504,4,6,0,60618,553,44
11,181,301,737,588.4,30986,17,12,1,60177,444,12
250,175,0,0,15969.3,28396,4,6,0,60640,850,11
11,161,27,166,1887.5,30297,0,0,0,60000,834,11
270,177,0,0,1689.32,51162,27,6,3,60628,171,12
11,171,41,687,863.65,33233,0,0,0,60000,300,10
22,174,101,43,14251.76,46033,16,6,0,60623,269,28
11,181,301,718,2920.8,20294,0,0,0,60000,285,62
11,181,302,596,65133.11,25098,2,26,5,60680,996,89
22,175,400,628,1000,50126,9,6,3,60616,87,90
11,171,89,972,125.87,33233,0,0,0,60000,300,10
11,181,41,619,8.82,32564,19,5,1,60803,16,12
11,171,303,392,31946.26,59353,2,3,1,60148,361,13
11,171,302,838,10189.01,25098,2,26,5,60680,996,89
11,171,68,763,551.64,12301,34,7,0,60602,887,48
188,189,0,0,292.87,19393,15,41,3,60197,798,37
22,174,101,389,55,51245,16,6,0,60601,345,35
188,179,0,0,60321,41210,11,1,1,60656,810,13
11,171,18,680,137794,6082,18,7,0,11803,601,26
11,171,30,608,2461.56,20336,10,16,1,60636,645,66
11,161,88,960,8649.64,30586,14,12,1,60477,994,11
11,171,27,114,75428.7,32916,12,16,1,60106,283,12
188,189,0,0,29765.42,24392,11,2,2,60532,7,90
254,175,0,0,537.93,50008,9,6,3,60616,87,90
159,176,0,0,23457.65,19393,15,41,3,60197,798,37
11,161,85,533,151010.24,23883,2,26,5,60606,938,79
11,171,87,193,356.16,26706,14,12,1,60644,854,88
22,175,1,562,5126.17,58791,4,6,0,60018,626,46
11,181,28,191,157.18,33233,0,0,0,60000,300,10
11,171,300,683,523.32,41709,12,12,1,60501,946,12
11,161,95,919,59808,53735,9,7,0,60604,310,39
11,181,87,276,2.53,33233,0,0,0,60000,300,10
11,171,86,624,2858.4,12687,12,5,1,60616,767,37
22,187,0,386,2083.34,51197,27,6,3,60621,171,12
250,165,0,0,1686.66,34972,4,6,0,60602,996,15
11,161,26,562,1028.53,28775,0,0,0,60000,144,10
184,168,0,0,24269.67,29722,3,2,2,60606,283,11
11,171,20,174,832.25,33233,0,0,0,60000,300,10
188,179,0,0,208235.85,47755,11,8,1,60646,471,13
22,185,5,182,534.82,67780,4,6,0,60610,169,60
22,185,0,542,32421.99,58889,4,6,0,60651,626,46
241,164,0,0,1940.28,33692,16,6,0,60657,64,14
22,185,6,240,50853.99,33337,4,6,0,60622,508,13
22,185,0,697,59624.87,31957,4,6,0,60607,59,13
22,185,4,927,4125.93,67401,4,6,1,60607,857,59
11,171,27,932,7167.63,24518,10,5,1,60609,126,81
11,181,28,387,4125,64697,12,5,1,60661,170,26
184,178,0,0,92719.41,25711,3,8,1,60639,767,97
11,161,88,849,1172.5,24856,7,5,1,60673,504,95
22,175,0,199,6884.54,33368,4,6,0,60653,508,13
188,189,0,0,754.39,24382,11,2,2,60012,7,90
131,173,0,0,595,49308,0,0,0,60000,509,13
250,175,0,0,34061.48,33025,4,6,0,60661,955,12
184,178,0,0,97913.07,48812,3,1,1,60106,9,13
11,171,31,121,4483.95,26158,12,5,1,60661,394,83
11,171,89,147,36.38,33233,0,0,0,60000,300,10
11,171,42,220,1104.06,63664,43,12,1,55044,673,12
11,161,95,821,27.06,33233,0,0,0,60000,300,10
22,174,102,568,11631.02,32392,16,6,0,60612,181,13
188,179,0,0,115239.85,31988,11,1,1,60656,930,12
11,181,302,222,263434.02,25098,2,26,5,60680,996,89
154,185,0,0,10970,46305,9,40,1,60501,476,13
11,171,41,483,42247.03,30457,3,5,1,60005,952,10
154,175,0,0,4055,46305,9,40,1,60501,476,13
250,175,0,0,448.54,44022,4,6,1,60640,796,25
184,178,0,0,26809.87,30024,3,1,1,60609,60,12
138,174,0,0,9867.48,19550,12,7,0,60062,263,72
250,175,0,0,3739.03,33422,4,6,0,60603,568,13
241,174,0,0,15029.58,33766,0,6,0,60612,153,14
11,171,30,345,485.12,19651,12,5,1,60612,930,59
154,185,0,0,8160,46305,9,40,1,60501,476,13
11,171,29,886,21539.31,24026,10,5,1,60415,610,86
11,181,301,980,407.47,29859,3,12,1,60628,818,10
11,171,69,804,8643.57,33232,0,0,0,60000,508,10
22,175,5,960,9702.95,44227,4,6,0,60644,53,30
11,171,29,769,2500,24835,2,5,1,46406,957,79
22,175,1,632,9934.18,58781,4,6,0,60612,626,46
250,175,0,0,30205.36,33901,4,6,0,60008,938,12
11,181,28,498,11232.25,20341,10,16,1,46373,645,66
11,181,85,346,81.49,33233,0,0,0,60000,300,10
11,171,27,26,630.27,32564,19,5,1,60803,16,12
11,171,302,76,35.97,33233,0,0,0,60000,300,10
22,175,5,387,12107.35,63530,4,6,0,60602,432,53
11,181,86,259,15868.33,27781,0,0,0,60000,939,10
11,171,90,639,790.33,51904,0,0,0,60000,508,10
250,175,0,0,5755,31439,4,6,0,60612,729,12
184,178,0,0,3619990.47,31553,3,1,1,60656,626,12
11,161,18,312,521.35,30545,12,12,1,60139,487,12
22,175,6,18,7190.68,32003,4,6,0,60608,59,13
250,165,0,0,398.6,28389,4,6,0,60608,850,11
250,165,0,0,23900,34145,4,6,0,42101,510,13
11,171,300,244,244032.73,24819,11,5,1,60612,488,84
22,175,4,381,18873.23,31190,4,6,0,60640,936,12
11,171,68,908,161.04,28295,7,12,1,60628,538,10
11,171,22,489,5011.2,29107,11,12,1,60604,75,11
184,178,0,0,141886.43,47314,3,2,5,60606,265,13
11,171,31,451,11040.8,24027,10,5,1,60609,610,86
11,171,42,712,4305,33232,0,0,0,60000,508,10
22,174,100,962,5317.4,50701,16,6,0,60607,708,34
11,181,16,608,54829.33,40769,7,12,1,60606,416,13
11,161,92,23,2361.39,27899,17,5,1,46342,559,10
11,171,303,424,219697.4,50459,2,3,0,11050,341,17
11,171,17,210,249.69,33233,0,0,0,60000,300,10
11,181,1,629,1285,24835,2,5,1,46406,957,79
11,171,87,19,47950,25150,0,0,0,60000,872,78
11,181,85,578,2052.34,28924,14,5,1,60403,174,71
188,169,0,0,151008.75,25050,11,1,1,60656,592,85
11,181,0,691,122508.28,55127,0,0,0,60000,668,20
188,189,0,0,19323.82,24392,11,2,2,60532,7,90
188,179,0,0,83004.52,41210,11,1,1,60656,810,13
22,175,2,670,1654.51,63442,4,6,0,60602,388,53
11,171,302,38,115.9,28295,7,12,1,60628,538,10
11,171,21,799,1842.44,33233,0,0,0,60000,300,10
11,181,27,536,752.15,32679,12,12,1,60693,751,12
11,161,95,885,154.01,33233,0,0,0,60000,300,10
11,171,67,173,15.92,28775,0,0,0,60000,144,10
11,171,69,647,37360.8,30599,3,12,1,54957,986,11
11,181,87,312,1841.91,31001,11,12,1,60609,681,11
22,177,0,282,2299.55,51153,27,6,3,60617,171,12
11,181,300,298,1342.92,28295,7,12,1,60628,538,10
22,174,101,576,6369.87,33544,16,6,0,60617,782,13
11,171,27,701,1654.74,20336,10,16,1,60636,645,66
241,174,0,0,3619.12,32933,16,6,0,60614,401,13
11,181,1,793,332.9,33233,0,0,0,60000,300,10
250,175,0,0,4837.36,55126,4,6,0,60622,53,30
250,145,0,0,2835.22,28390,4,6,0,60602,850,11
11,171,29,677,1312.69,19755,12,12,1,60609,123,71
254,175,0,0,2140.6,50296,9,6,3,60616,115,91
250,165,0,0,9125.56,31446,4,6,0,60610,729,12
11,171,92,457,37.55,33233,0,0,0,60000,300,10
11,171,89,346,3189.5,51824,16,7,0,60132,144,36
138,174,0,0,81891.42,30223,12,7,0,53201,471,12
154,175,0,0,939,46305,9,40,1,60501,476,13
22,175,4,221,2767.4,33336,4,6,0,60608,509,13
11,181,32,129,270,49569,12,5,1,60638,124,13
11,171,27,747,13259.3,21974,10,16,1,60641,645,66
22,175,0,796,83932.32,28389,4,6,0,60608,850,11
22,185,2,503,1926.74,58889,4,6,0,60651,626,46
11,171,41,738,7500,63487,6,7,0,60641,413,53
241,164,0,0,12342.9,26938,16,6,0,60612,200,11
250,175,0,0,5799.13,43680,4,6,1,60610,55,30
250,175,0,0,244,32095,4,6,0,10173,109,13
22,184,101,496,10856.72,31772,16,6,0,60612,1,13
11,171,93,566,3908.2,24932,3,5,1,60101,364,73
11,171,17,849,55929.92,15451,3,12,0,60803,958,39
11,171,21,167,6796,17836,10,16,1,60609,902,59
11,171,67,261,99.75,33233,0,0,0,60000,300,10
22,175,7,77,12884.98,33359,4,6,0,60622,508,13
22,175,5,683,1679.5,41239,4,6,0,60615,781,22
184,188,0,0,39350.76,29713,3,2,2,60674,283,11
22,175,4,549,5626.15,43924,4,6,0,60619,430,31
